IGRP,PLANT,RFURB,RYR,ECP,SUMCAP,WINCAP,FUELTYPE,COOLTECH,UNITTECH,WATERSOURCE,FUELREG,HUC8,HUC8_QGIS,LAT,LON
5290,7706,1992,201011,ET,60.1,71.2,NN,NA,NN,Unknown,7,07080104_IA,07080104_IA,-91.147,40.817
5291,7709,2000,999912,ET,747.3,890,NG,NA,CT,Surface,14,03070101_GA,03070101_GA,-83.398,34.042
5292,7710,2002,999912,EC,1814.9,1865.9,NG,RC,CC,Surface,17,03130002_AL,03130002_AL,-85.098,32.608
5293,7715,1998,999912,ET,12,13.8,NG,NA,CT,Groundwater,15,03140105_FL,03140105_FL,-87.135,30.593
5294,7719,1998,999912,ET,9,9,OL,NA,CT,Surface,17,03160202_MS,03170001_MS,-88.704,32.375
5295,7721,2000,999912,EC,224.7,249.7,NG,RC,CC,Surface,17,03160205_AL,03160205_AL,-88.129,30.525
5296,7722,1996,999912,CN,1123,1179,NU,RC,ST,Surface,16,06020001_TN,06020001_TN,-84.789,35.602
5298,7722,2015,999912,CN,1122,1164,NU,RC,ST,Surface,16,06020001_TN,06020001_TN,-84.789,35.602
5299,7725,1995,999912,MS,5.4,5.4,BG,NA,CT,Surface,22,17090003_OR,17090003_OR,-123.273,44.589
5300,7730,1998,999912,ET,1.1,1.1,NN,NA,NN,Unknown,20,11020003_CO,11020003_CO,-104.817,38.876
5301,7737,1999,999912,CX,90,90,CL,OT,ST,Surface,12,03050201_SC,03050201_SC,-79.967,32.9
5302,7749,1999,999912,ET,89,106,NG,NA,CT,Groundwater,9,08020204_MO,08020204_MO,-89.831,36.865
5303,7754,1999,999912,ET,186,236,NN,NA,NN,Unknown,9,10240013_MO,10240013_MO,-94.791,40.288
5304,7757,2000,999912,EC,884,941,NG,RC,CC,Surface,18,11070209_OK,11070209_OK,-95.277,36.222
5305,7758,2000,999912,ET,11.4,11.4,OL,NA,CT,Surface,7,07080201_IA,07080201_IA,-92.471,42.732
5306,7759,2000,999912,ET,151,190,NG,NA,CT,Surface,6,05120201_IN,05120201_IN,-86.241,39.904
5307,7759,2000,999912,ET,72,90,NG,NA,CT,Surface,6,05120201_IN,05120201_IN,-86.241,39.904
5308,7759,2001,999912,ET,72,90,NG,NA,CT,Surface,6,05120201_IN,05120201_IN,-86.241,39.904
5309,7760,1999,999912,ET,176,188,NG,NA,CT,Surface,5,05120109_IL,05120109_IL,-87.654,40.106
